Requested_species	Accession	Organism	Record_TaxID	Taxonomy_match	Extraction_method	Feature_type	Length	Description
Acer ginnala	OP221085.1	Acer tataricum subsp. ginnala	57656	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	254	Acer tataricum subsp. ginnala isolate JL054 external transcribed spacer small subunit ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and large subunit ribosomal RNA gene, complete sequence
Acer hyrcanum	AY605305.1	Acer hyrcanum subsp. hyrcanum	291210	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	237	Acer hyrcanum subsp. hyrcanum clone hy102 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer hyrcanum	AY605306.1	Acer hyrcanum subsp. hyrcanum	291210	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	238	Acer hyrcanum subsp. hyrcanum clone hy133 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer hyrcanum	DQ366129.1	Acer hyrcanum subsp. hyrcanum	291210	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	235	Acer hyrcanum subsp. hyrcanum clone hy110 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer hyrcanum	DQ366130.1	Acer hyrcanum subsp. hyrcanum	291210	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	237	Acer hyrcanum subsp. hyrcanum clone hy153 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer hyrcanum	MW070140.1	Acer hyrcanum	290838	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	237	Acer hyrcanum external transcribed spacer small subunit ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and large subunit ribosomal RNA gene, complete sequence
Acer monspessulanum	AF401127.1	Acer monspessulanum	168566	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	237	Acer monspessulanum internal transcribed spacer 1, 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605307.1	Acer monspessulanum subsp. ibericum	171211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	245	Acer ibericum clone ib108 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605308.1	Acer monspessulanum subsp. ibericum	171211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	245	Acer ibericum clone ib111 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605309.1	Acer monspessulanum subsp. ibericum	171211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	245	Acer ibericum clone ib201 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605310.1	Acer monspessulanum subsp. ibericum	171211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	245	Acer ibericum clone ib238 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605311.1	Acer monspessulanum subsp. ibericum	171211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	245	Acer ibericum clone ib303 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605312.1	Acer monspessulanum subsp. ibericum	171211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	245	Acer ibericum clone ib307 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605313.1	Acer monspessulanum subsp. ibericum	171211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	245	Acer ibericum clone ib402 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605314.1	Acer monspessulanum subsp. ibericum	171211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	245	Acer ibericum clone ib403 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605315.1	Acer monspessulanum subsp. monspessulanum	291211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	239	Acer monspessulanum subsp. monspessulanum clone ms408 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605316.1	Acer monspessulanum subsp. monspessulanum	291211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	239	Acer monspessulanum subsp. monspessulanum clone ms411 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605317.1	Acer monspessulanum subsp. monspessulanum	291211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	239	Acer monspessulanum subsp. monspessulanum clone ms414 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605318.1	Acer monspessulanum subsp. monspessulanum	291211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	239	Acer monspessulanum subsp. monspessulanum clone ms512 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605319.1	Acer monspessulanum subsp. monspessulanum	291211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	239	Acer monspessulanum subsp. monspessulanum clone ms518 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605320.1	Acer monspessulanum subsp. monspessulanum	291211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	239	Acer monspessulanum subsp. monspessulanum clone ms604 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	AY605321.1	Acer monspessulanum subsp. monspessulanum	291211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	239	Acer monspessulanum subsp. monspessulanum clone ms605 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	DQ366124.1	Acer monspessulanum subsp. monspessulanum	291211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	237	Acer monspessulanum subsp. monspessulanum clone ms617 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	DQ366125.1	Acer monspessulanum subsp. monspessulanum	291211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	237	Acer monspessulanum subsp. monspessulanum clone ms703 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	DQ366126.1	Acer monspessulanum subsp. monspessulanum	291211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	237	Acer monspessulanum subsp. monspessulanum clone ms714 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	DQ366127.1	Acer monspessulanum subsp. monspessulanum	291211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	237	Acer monspessulanum subsp. monspessulanum clone ms716i 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	DQ366128.1	Acer monspessulanum subsp. monspessulanum	291211	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	237	Acer monspessulanum subsp. monspessulanum clone ms718 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer monspessulanum	MW070149.1	Acer monspessulanum	168566	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	237	Acer monspessulanum external transcribed spacer small subunit ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and large subunit ribosomal RNA gene, complete sequence
Acer obtusatum	AY605333.1	Acer opalus subsp. obtusatum	269405	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	243	Acer opalus subsp. obtusatum clone ot104 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer obtusatum	AY605334.1	Acer opalus subsp. obtusatum	269405	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	243	Acer opalus subsp. obtusatum clone ot202 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer obtusatum	AY605335.1	Acer opalus subsp. obtusatum	269405	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	244	Acer opalus subsp. obtusatum clone ot203 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer obtusatum	AY605336.1	Acer opalus subsp. obtusatum	269405	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	243	Acer opalus subsp. obtusatum clone ot204 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer obtusatum	AY605337.1	Acer opalus subsp. obtusatum	269405	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	242	Acer opalus subsp. obtusatum clone ot207 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer obtusatum	MW070153.1	Acer opalus subsp. obtusatum	269405	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	241	Acer opalus subsp. obtusatum external transcribed spacer small subunit ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and large subunit ribosomal RNA gene, complete sequence
Achillea aspleniifolia	AY603201.1	Achillea aspleniifolia	282720	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	203	Achillea asplenifolia internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Achillea atrata	AY603227.1	Achillea atrata	282721	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	203	Achillea atrata internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Achillea collina	AY603198.1	Achillea collina	282730	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	203	Achillea collina internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Achillea nobilis	AB359797.1	Achillea nobilis	282753	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	202	Achillea nobilis gene for internal transcribed spacer 2, partial sequence
Achillea nobilis	AY603212.1	Achillea nobilis	282753	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	203	Achillea nobilis internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Achillea roseoalba	AY603200.1	Achillea roseoalba	282763	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	203	Achillea roseoalba internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Achillea virescens	AY603211.1	Achillea virescens	282770	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	203	Achillea virescens internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Aconitum anthora	AF216547.1	Aconitum anthora	112588	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	217	Aconitum anthora isolate 14417 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Aconitum degenii	KF219806.1	Aconitum degenii	721841	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	216	Aconitum degenii voucher 007 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Aconitum degenii	KF219819.1	Aconitum degenii	721841	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	216	Aconitum degenii voucher 045 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Aconitum degenii	KF219823.1	Aconitum degenii	721841	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	216	Aconitum degenii voucher 050A internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Aegilops geniculata	AF156998.1	Aegilops geniculata	130459	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	216	Aegilops geniculata internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
Aesculus flava	EU687646.1	Aesculus flava	322040	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	187	Aesculus flava voucher D.J. Crawford 408 internal transcribed spacer 2, complete sequence
Aesculus flava	EU687647.1	Aesculus flava	322040	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	191	Aesculus flava voucher Q.-Y. Xiang 98-150 internal transcribed spacer 2, complete sequence
Aesculus flava	EU687648.1	Aesculus flava	322040	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	191	Aesculus flava voucher Q.-Y. Xiang 01-190 internal transcribed spacer 2, complete sequence
Aesculus parviflora	EU687632.1	Aesculus parviflora	322043	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	188	Aesculus parviflora voucher Kew 00069-10442-265 internal transcribed spacer 2, complete sequence
Aesculus parviflora	EU687633.1	Aesculus parviflora	322043	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	192	Aesculus parviflora voucher J.C. Raulston Arb. s.n. internal transcribed spacer 2, complete sequence
Aesculus parviflora	MF348846.1	Aesculus parviflora	322043	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	229	Aesculus parviflora isolate AD0EE26 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence
Aethionema saxatile	AJ862698.1	Aethionema saxatile	202778	NAME_MATCH	ITS2_ONLY_RECORD	whole_record	191	Aethionema saxatile ITS2
Agrostis alpina	KJ598966.1	Agrostis alpina	1395541	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	213	Agrostis alpina voucher Zippel s.n. (MEL 2359926A) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence
Alchemilla fissa	EU072530.1	Alchemilla fissa	478309	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	211	Alchemilla fissa internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	AM777848.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	ITS2_ONLY_RECORD	whole_record	225	Alisma orientale partial ITS2
Alisma plantago-aquatica	AY588940.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence
Alisma plantago-aquatica	DQ011501.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	240	Alisma plantago-aquatica internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Alisma plantago-aquatica	DQ016540.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	239	Alisma orientale internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Alisma plantago-aquatica	DQ016541.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	239	Alisma orientale internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Alisma plantago-aquatica	DQ339078.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	174	Alisma plantago-aquatica from Sweden 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	DQ339080.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	174	Alisma orientale from Japan 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	DQ339083.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	174	Alisma plantago-aquatica from Sweden 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	DQ339085.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	174	Alisma plantago-aquatica from Russia 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	JF778870.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	313	Alisma plantago-aquatica voucher PS1621MT01 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence
Alisma plantago-aquatica	KC573871.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma orientale isolate AO01 internal transcribed spacer 2, complete sequence
Alisma plantago-aquatica	KC573872.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma orientale isolate AO02 internal transcribed spacer 2, complete sequence
Alisma plantago-aquatica	KC573873.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma orientale isolate AO03 internal transcribed spacer 2, complete sequence
Alisma plantago-aquatica	KC573874.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica isolate APO1 internal transcribed spacer 2, complete sequence
Alisma plantago-aquatica	KC573875.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica isolate AP02 internal transcribed spacer 2, complete sequence
Alisma plantago-aquatica	KC573876.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica isolate AP03 internal transcribed spacer 2, complete sequence
Alisma plantago-aquatica	KR812565.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica subsp. orientale isolate JZX01 internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	KR812566.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica subsp. orientale isolate JZX02 internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	KR812567.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica subsp. orientale isolate JZX03 internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	KR812568.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica subsp. orientale isolate JZX04 internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	KR812569.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica subsp. orientale isolate JZX05 internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	KR812570.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica isolate CZX01 internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	KR812571.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica isolate CZX02 internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	KR812572.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica isolate CXZ03 internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	KR812573.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica isolate CZX04 internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	KR812574.1	Alisma plantago-aquatica	15000	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica isolate CZX05 internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	KT898255.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica subsp. orientale voucher YC0072MT01 internal transcribed spacer 2, partial sequence
Alisma plantago-aquatica	KX674937.1	Alisma plantago-aquatica subsp. orientale	262913	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	311	Alisma plantago-aquatica subsp. orientale voucher PH09121 internal transcribed spacer 2, partial sequence
